ID,ReciprocalFriend
2384071,13293162
2384071,2493137191
2384071,138818744
2384071,15813127
13293162,2384071
13293162,36072985
13293162,3475
13293162,17595439
13293162,252531143
2493137191,940736467
2493137191,15085420
2493137191,18571110
2493137191,28989277
2493137191,45772745
138818744,2384071
138818744,153966123
138818744,41602160
138818744,14539425
138818744,22239212
15813127,16129920
15813127,2922268330
15813127,2466899838
15813127,22756947
15813127,19050461
2384071,13293162
2384071,2493137191
2384071,138818744
2384071,15813127
36072985,382258249
36072985,271294362
36072985,164351758
3475,1605
3475,17781673
3475,9532402
3475,1282121312
3475,18269449
17595439,20263710
17595439,14031032
17595439,38445467
17595439,481867656
17595439,733031324
252531143,33196091
252531143,1605
252531143,5520332
252531143,14177942
252531143,15469000
940736467,583245674
940736467,42417984
940736467,22986573
940736467,42819565
940736467,2310938544
15085420,5768872
15085420,179398386
15085420,14051043
15085420,21207000
15085420,2168143544
18571110,190906140
18571110,293338829
18571110,1660862130
18571110,3187359674
18571110,719666283336318976
28989277,22986573
28989277,2750513041
28989277,26304307
28989277,241278819
28989277,15466386
45772745,190906140
45772745,525713285
45772745,44171091
45772745,1419370418
45772745,33906521
2384071,13293162
2384071,2493137191
2384071,138818744
2384071,15813127
153966123,404102292
153966123,779379510055763968
153966123,72559384
153966123,706157000
153966123,576256688
41602160,183735745
14539425,15677036
14539425,606412878
14539425,140883357
14539425,19665271
14539425,293786612
22239212,39088067
22239212,27397922
22239212,167554905
22239212,2205388728
22239212,106790805
2922268330,210957932
2922268330,3724175959
2466899838,1262776610
2466899838,63839488
2466899838,25387735
2466899838,18533219
2466899838,343438129
22756947,308235132
22756947,22986148
22756947,3182044304
22756947,2358191826
22756947,2463677318
19050461,132774626
19050461,167781199
19050461,1262776610
19050461,17850785
19050461,16126957
13293162,2384071
13293162,36072985
13293162,3475
13293162,17595439
13293162,252531143
2493137191,940736467
2493137191,15085420
2493137191,18571110
2493137191,28989277
2493137191,45772745
138818744,2384071
138818744,153966123
138818744,41602160
138818744,14539425
138818744,22239212
15813127,16129920
15813127,2922268330
15813127,2466899838
15813127,22756947
15813127,19050461
382258249,36072985
382258249,36712233
382258249,2538115178
382258249,177058801
382258249,806574631775662081
271294362,36072985
271294362,795649
271294362,46063
271294362,13293162
271294362,33907531
17781673,588716247
9532402,755113
9532402,3475
9532402,34664371
9532402,65375759
9532402,954124423
18269449,755113
18269449,3475
18269449,26149716
18269449,24165761
18269449,262351301
20263710,91836238
20263710,340930998
20263710,12193402
20263710,169312819
20263710,104184507
14031032,1294741
14031032,1854401
14031032,24410456
14031032,781240
14031032,4282171
38445467,22522178
38445467,37060147
38445467,17595439
38445467,622993275
38445467,1965420800
481867656,1398654900
481867656,36497342
481867656,92764064
481867656,147730268
481867656,81235913
733031324,18374131
733031324,348331965
733031324,42417984
733031324,579747564
733031324,3144040043
33196091,470362735
5520332,36711022
5520332,320944687
5520332,252531143
5520332,781293
5520332,1528558014
14177942,158848407
14177942,2316383071
14177942,92372285
14177942,39546218
14177942,49204865
15469000,7817142
15469000,246103
15469000,14342018
15469000,246939630
15469000,252531143
583245674,155629354
583245674,2713864140
583245674,14216821
583245674,18112405
583245674,945345223776985089
42417984,112328242
42417984,740685530
42417984,16854780
42417984,2461812403
42417984,4804601
22986573,2257089540
22986573,249096055
22986573,21966756
22986573,761985912456613888
22986573,2581465032
42819565,481926866
42819565,407003104
42819565,2310938544
42819565,364224436
42819565,3286269715
2310938544,1532297162
2310938544,133984183
2310938544,40089348
2310938544,42819565
2310938544,89642805
5768872,2276717322
5768872,2309779899
5768872,862493306382626818
5768872,19145255
5768872,27614604
179398386,198032425
179398386,2233369634
179398386,979411950
179398386,30276507
179398386,102849439
14051043,21114610
14051043,17678476
14051043,2319390320
14051043,8209042
14051043,20193149
21207000,1160561
21207000,140993720
21207000,52535366
21207000,100990213
2168143544,90379747
2168143544,807184478
2168143544,2567188366
2168143544,16720991
2168143544,1369481
190906140,402839370
190906140,15574626
190906140,965566363
190906140,312473581
190906140,3070987759
293338829,353103668
293338829,93105925
293338829,289468133
293338829,23512793
